Route - U102,SOG COLONY TO SHAMANUR,,
,Stops,Lat,Long
Stage,SOG COLONY,14.427362,75.94025
Stage,SS HOSPITAL,14.432749,75.940659
,SS HOSPITAL Rd,14.437659,75.939536
,Sai Baba Temple,14.438804,75.938658
,SS hitech layout,14.440534,75.937227
Stage,SJAYANAGARA,14.441798,75.935992
,Jayanagara B Block,14.443061,75.934117
,Kalidasa circle,14.44383,75.933126
,Church Jayanagara,14.444694,75.933282
Stage,SBHAGI/KALI,14.4481033,75.9329552
,Sakthi Nagar,14.447115,75.935593
,Banashankri temple,14.449058,75.936011
,DCM 2nd stop,14.45013,75.935866
,DCM 2nd stop,14.45013,75.935866
,DCM water tank,14.45227,75.937213
,Boomika Nagar,14.452885,75.9363443
Stage,DCM,14.454334,75.936115
,APMC Gate,14.459186,75.932063
Stage,KSRTC NEW BUS Stand,14.459873,75.931157
,Aahar,14.465978,75.924113
,Old Bus Stand,14.467007,75.922581
Stage,Railway station,14.4674194Â ,75.9194217
,Harihar bus stop,14.46713,75.918539
,KSRTC Temporary Bus stand,14.465233,75.917289
,AVK College,14.4628311,75.9178242
Stage,SKEB/VBHAVAN,14.460079,75.91868
,Shamnur rd,14.458463,75.917377
Stage,CGHOSPITAL,14.4576282,75.9149311
,Water Tank,14.456979,75.911386
Stage,LAKSHMIFLOO,14.456329,75.906714
,SS Mall,14.4552111,75.9056638
,Karnataka Bank,14.452759,75.904327
,Bapuji samuthaya Bhavan,14.448141,75.901662
,Bottle Building,14.447367,75.901242
Stage,SHAMANUR,14.440576,75.899041